signal_date,actual_holdings,n_holdings
2016-07-29,SH600036;SH600183;SH600197;SH600519;SH600521;SH600755;SH600809;SH600837;SH600887;SH601398;SH601601;SH601688;SZ000895;SZ002572;SZ002603,15
2016-12-13,SH600004;SH600023;SH600036;SH600089;SH600269;SH600307;SH600585;SH600809;SH600887;SH601006;SH601398;SH601601;SH601939;SZ000157;SZ000830,15
2017-04-28,SH600023;SH600036;SH600089;SH600269;SH600315;SH600585;SH600703;SH600809;SH600887;SH601006;SH601328;SH601398;SH601988;SZ000157;SZ000830,15
2017-09-06,SH600023;SH600036;SH600089;SH600519;SH600585;SH600674;SH600703;SH600809;SH600887;SH601006;SH601166;SH601288;SH601398;SH601988;SZ000157,15
2018-01-18,SH600023;SH600036;SH600203;SH600674;SH600887;SH603377;SH603699;SH603899;SZ000690;SZ000895;SZ002042;SZ300202;SZ300270;SZ300429;SZ300470,15
2018-06-06,SH600203;SH600977;SH601117;SH601566;SH603699;SH603866;SH603899;SZ002042;SZ002550;SZ300202;SZ300257;SZ300270;SZ300400;SZ300429;SZ300497,15
2018-10-19,SH600500;SH600508;SH600688;SH600871;SH600926;SH601128;SH601229;SH601336;SH601898;SH601918;SH603012;SH603699;SZ300270;SZ300400;SZ300429,15
2019-03-05,SH600089;SH600177;SH600377;SH600500;SH600548;SH600662;SH600674;SH600820;SH600897;SH601019;SH601179;SZ000791;SZ002155;SZ002538;SZ002697,15
2019-07-16,SH600031;SH600177;SH600887;SH600897;SH601318;SH603365;SZ000090;SZ000157;SZ000568;SZ002142;SZ002271;SZ002697;SZ002734;SZ300041,14
2019-11-27,SH600031;SH600276;SH600449;SH600741;SH600926;SH600966;SH601318;SH603012;SH603816;SZ000001;SZ000090;SZ002521;SZ002697;SZ002706;SZ300041,15
2020-04-13,SH600031;SH600449;SH600496;SH600966;SH601222;SH603356;SH603713;SH603816;SZ000090;SZ000895;SZ002213;SZ002706;SZ300138;SZ300669;SZ300737,15
2020-08-24,SH600031;SH600436;SH603288;SH603810;SH603816;SZ000895;SZ002251;SZ002493;SZ002539;SZ002706;SZ002840;SZ300138;SZ300257;SZ300669,14
2021-01-06,SH600025;SH600031;SH600036;SH600436;SH601021;SH601318;SH601985;SH603288;SH603816;SH603833;SZ000568;SZ000837;SZ000902;SZ002372;SZ300669,15
2021-05-25,SH600000;SH600036;SH600160;SH600377;SH600548;SH600612;SH600691;SH601021;SH601985;SH601998;SH603300;SH603567;SH603681;SZ000837;SZ002563,15
2021-10-08,SH600500;SH600728;SH600929;SH603189;SH603596;SH603681;SH688066;SH688177;SZ000567;SZ000837;SZ002328;SZ002448;SZ002732;SZ002929;SZ300538,15
2022-02-21,SH600004;SH600009;SH600029;SH600048;SH600929;SH601111;SH601128;SH603359;SZ000567;SZ000729;SZ000895;SZ001979;SZ002120;SZ002562;SZ300498,15
2022-07-05,SH600004;SH600009;SH600029;SH600177;SH600415;SH600919;SH601111;SH601128;SH601838;SH601988;SZ000729;SZ000895;SZ002562;SZ002594;SZ002807,15
2022-11-16,SH600009;SH600276;SH600919;SH601728;SH601988;SH603233;SH605077;SH605507;SZ000729;SZ002262;SZ002595;SZ002690;SZ002966;SZ300003;SZ301015,15
2023-03-30,SH600276;SH600352;SH600362;SH600398;SH600612;SH601988;SH603160;SH603258;SH603950;SH688009;SZ000338;SZ002429;SZ002690;SZ002832;SZ300770,15
2023-08-11,SH600016;SH600177;SH600352;SH600362;SH600398;SH600612;SH601328;SH601336;SH601985;SH601988;SH688009;SZ000166;SZ000338;SZ000559;SZ002429,15
2023-12-25,SH600025;SH600123;SH600177;SH600252;SH600810;SH600997;SH601225;SH601328;SH601702;SH601898;SH601918;SH601985;SH601988;SZ000338;SZ002001,15
2024-05-15,SH600025;SH600582;SH600997;SH601009;SH601169;SH601225;SH601229;SH601328;SH601702;SH601898;SH601916;SH601918;SH601988;SZ000338;SZ001286,15
2024-09-23,SH600000;SH600025;SH600323;SH600999;SH601009;SH601169;SH601229;SH601319;SH601328;SH601607;SH601816;SH601988;SH688249;SH688399;SZ002594,15
2025-02-12,SH600000;SH600208;SH600999;SH601229;SH601319;SH601988;SH688002;SH688249;SH688696;SZ001226;SZ002490;SZ002891;SZ300866;SZ300993;SZ301080,15
2025-06-25,SH600000;SH600011;SH600039;SH601033;SH601229;SH601988;SH605050;SH688002;SH688186;SH688501;SZ002311;SZ002487;SZ002490;SZ002690;SZ002891,15
2025-11-06,SH600011;SH600282;SH600338;SH601156;SH601636;SH601899;SH603806;SH603816;SH603871;SH688002;SZ000408;SZ002056;SZ002487;SZ002690;SZ002859,15
2026-03-24,SH600338;SH600388;SH600970;SH601156;SH601899;SH603345;SH603556;SH603568;SH603816;SH603871;SZ000157;SZ000408;SZ002318;SZ002372;SZ002859,15
