code,first_date,last_date,obs
BJ430017,2023-05-31,2025-09-30,569
BJ430047,2021-11-15,2025-09-30,942
BJ430090,2021-11-15,2025-09-30,937
BJ430139,2022-10-28,2025-09-30,711
BJ430198,2021-11-17,2025-09-30,935
BJ430300,2022-12-07,2025-09-30,684
BJ430418,2021-11-15,2025-09-30,942
BJ430425,2023-01-30,2025-09-30,652
BJ430476,2022-10-14,2025-09-30,721
BJ430478,2023-02-23,2025-09-30,634
BJ430489,2021-11-15,2025-04-30,837
BJ430510,2021-11-15,2025-09-30,942
BJ430556,2023-03-17,2025-09-30,618
BJ430564,2022-06-17,2025-09-30,800
BJ430685,2022-10-10,2025-09-30,725
BJ430718,2022-12-22,2025-09-30,673
BJ830779,2023-06-01,2025-09-30,568
BJ830799,2021-11-15,2025-04-30,837
BJ830809,2023-03-23,2025-09-30,614
BJ830832,2021-11-15,2025-09-30,942
BJ830839,2021-11-15,2025-09-30,942
BJ830879,2022-12-20,2025-09-30,675
BJ830896,2023-04-19,2025-09-30,596
BJ830946,2021-11-15,2025-09-30,942
BJ830964,2021-11-15,2025-09-30,938
BJ830974,2023-03-08,2025-09-30,625
BJ831010,2021-11-15,2025-09-30,942
BJ831039,2021-11-15,2025-09-30,934
BJ831087,2022-12-07,2025-09-30,684
BJ831152,2022-09-01,2025-09-30,746
BJ831167,2022-05-27,2025-09-30,814
BJ831175,2023-12-14,2025-09-30,436
BJ831195,2022-12-30,2025-09-30,667
BJ831278,2022-06-20,2025-09-30,799
BJ831304,2023-04-18,2025-09-30,597
BJ831305,2021-11-15,2025-09-30,942
BJ831370,2021-11-15,2025-09-30,942
BJ831396,2024-01-26,2025-09-30,406
BJ831445,2021-11-15,2025-04-30,837
BJ831526,2022-12-22,2025-09-30,670
BJ831627,2023-09-07,2025-09-30,500
BJ831641,2022-12-02,2025-09-30,687
BJ831689,2022-03-21,2025-09-30,858
BJ831726,2021-11-15,2025-09-30,942
BJ831768,2021-11-15,2025-09-30,942
BJ831832,2021-11-15,2025-09-30,942
BJ831834,2022-08-22,2025-09-30,754
BJ831855,2022-12-29,2025-09-30,668
BJ831856,2021-11-15,2025-09-30,932
BJ831906,2023-02-22,2025-09-30,635
BJ831961,2021-11-15,2025-09-30,937
BJ832000,2021-11-15,2025-09-30,942
BJ832023,2023-02-02,2025-09-30,649
BJ832089,2021-11-15,2025-09-30,942
BJ832110,2022-12-06,2025-09-30,685
BJ832145,2021-11-15,2025-09-30,942
BJ832149,2023-02-17,2025-09-30,638
BJ832171,2021-11-15,2025-09-30,939
BJ832175,2023-06-30,2025-09-30,549
BJ832225,2021-11-15,2025-09-30,942
BJ832278,2021-11-15,2025-09-30,942
BJ832419,2022-03-11,2025-09-30,864
BJ832469,2023-09-18,2025-09-30,493
BJ832471,2023-05-25,2025-09-30,573
BJ832491,2022-06-14,2025-09-30,803
BJ832522,2023-11-16,2025-09-30,456
BJ832566,2021-11-15,2025-09-30,942
BJ832651,2023-06-27,2025-09-30,552
BJ832662,2022-11-28,2025-09-30,691
BJ832735,2021-11-15,2025-09-30,942
BJ832786,2023-10-13,2025-09-30,480
BJ832802,2023-02-06,2025-09-30,647
BJ832876,2022-11-09,2025-09-30,704
BJ832885,2021-11-15,2025-09-30,942
BJ832978,2023-09-28,2025-09-30,485
BJ832982,2023-07-20,2025-09-30,535
BJ833030,2023-11-02,2025-09-30,466
BJ833075,2022-12-14,2025-09-30,679
BJ833171,2022-12-15,2025-09-30,678
BJ833230,2022-12-09,2025-09-30,682
BJ833266,2021-11-15,2025-09-30,942
BJ833284,2023-12-19,2025-09-30,433
BJ833346,2022-02-23,2025-09-30,876
BJ833394,2023-04-25,2025-09-30,592
BJ833427,2021-11-15,2025-09-30,942
BJ833429,2022-12-15,2025-09-30,678
BJ833454,2021-11-15,2025-09-30,942
BJ833455,2023-06-21,2025-09-30,554
BJ833509,2021-11-15,2025-09-30,942
BJ833523,2021-11-15,2025-09-30,942
BJ833533,2022-05-24,2025-09-30,817
BJ833575,2023-03-15,2025-09-30,620
BJ833580,2022-05-13,2025-09-30,824
BJ833751,2023-07-17,2025-09-30,538
BJ833781,2022-12-26,2025-09-30,671
BJ833819,2021-11-15,2025-04-30,837
BJ833873,2021-11-15,2025-09-30,942
BJ833914,2022-11-11,2025-09-30,702
BJ833943,2022-06-24,2025-09-30,795
BJ834014,2022-12-13,2025-09-30,680
BJ834021,2021-11-15,2025-09-30,942
BJ834033,2022-12-21,2025-09-30,674
BJ834058,2023-08-10,2025-09-30,520
BJ834062,2022-07-13,2025-09-30,782
BJ834261,2023-04-03,2025-09-30,607
BJ834407,2023-02-16,2025-09-30,639
BJ834415,2021-11-15,2025-09-30,927
BJ834475,2021-11-15,2025-09-30,942
BJ834599,2021-11-15,2025-09-30,942
BJ834639,2022-07-12,2025-09-30,783
BJ834682,2021-11-15,2025-04-30,837
BJ834765,2021-10-27,2025-09-30,941
BJ834770,2023-02-28,2025-09-30,631
BJ834950,2023-01-11,2025-09-30,660
BJ835174,2021-11-15,2025-09-30,932
BJ835179,2022-03-04,2025-09-30,869
BJ835184,2021-11-15,2025-09-30,942
BJ835185,2021-11-15,2025-09-30,942
BJ835207,2022-09-23,2025-09-30,731
BJ835237,2022-11-25,2025-09-30,692
BJ835305,2021-11-15,2025-09-30,936
BJ835368,2021-11-15,2025-09-30,942
BJ835438,2024-03-25,2025-09-30,371
BJ835508,2021-11-15,2025-09-30,942
BJ835579,2023-11-30,2025-09-30,446
BJ835640,2021-11-15,2025-09-30,942
BJ835670,2021-11-15,2025-09-30,942
BJ835857,2023-03-14,2025-09-30,621
BJ835892,2022-10-18,2025-09-30,719
BJ835985,2022-08-08,2025-09-30,764
BJ836077,2021-11-15,2025-09-30,942
BJ836149,2021-11-15,2025-09-30,942
BJ836208,2023-06-29,2025-09-30,550
BJ836221,2023-06-08,2025-09-30,563
BJ836239,2021-11-15,2025-09-30,934
BJ836247,2022-12-23,2025-09-30,672
BJ836260,2021-11-15,2025-09-30,942
BJ836263,2021-11-15,2025-09-30,932
BJ836270,2022-09-05,2025-09-30,744
BJ836395,2022-09-01,2025-09-30,746
BJ836414,2022-12-12,2025-09-30,681
BJ836419,2023-09-15,2025-09-30,494
BJ836422,2023-03-01,2025-09-30,630
BJ836433,2021-11-17,2025-09-30,940
BJ836504,2023-08-17,2025-09-30,515
BJ836547,2023-12-12,2025-09-30,438
BJ836675,2021-11-15,2025-09-30,942
BJ836699,2023-05-09,2025-09-30,585
BJ836717,2023-07-03,2025-09-30,548
BJ836720,2021-11-24,2025-09-30,935
BJ836807,2022-12-20,2025-09-30,675
BJ836826,2021-11-15,2025-09-30,942
BJ836871,2022-07-22,2025-09-30,775
BJ836892,2021-11-15,2025-09-30,942
BJ836942,2022-12-08,2025-09-30,683
BJ836957,2022-12-14,2025-09-30,679
BJ836961,2023-12-21,2025-09-30,431
BJ837006,2023-05-18,2025-09-30,578
BJ837023,2024-03-29,2025-09-30,367
BJ837046,2022-10-13,2025-09-30,722
BJ837092,2021-11-15,2025-09-30,942
BJ837174,2023-08-18,2025-09-30,514
BJ837212,2021-11-15,2025-09-30,942
BJ837242,2021-11-15,2025-09-30,942
BJ837344,2021-11-15,2025-09-30,942
BJ837403,2024-01-18,2025-09-30,412
BJ837592,2023-07-10,2025-09-30,543
BJ837663,2023-03-15,2025-09-30,620
BJ837748,2023-08-16,2025-09-30,516
BJ837821,2022-07-06,2025-09-30,787
BJ838030,2021-11-15,2025-09-30,942
BJ838163,2021-11-15,2025-09-30,942
BJ838171,2022-06-02,2025-09-30,810
BJ838227,2022-12-28,2025-09-30,669
BJ838262,2022-12-30,2025-09-30,667
BJ838275,2021-11-15,2025-09-30,942
BJ838402,2022-09-28,2025-09-30,728
BJ838670,2022-07-05,2025-09-30,788
BJ838701,2023-07-19,2025-09-30,536
BJ838810,2022-12-16,2025-09-30,677
BJ838837,2023-05-15,2025-09-30,581
BJ838924,2021-11-15,2025-09-30,942
BJ838971,2022-09-27,2025-09-30,729
BJ839167,2021-11-15,2025-04-30,837
BJ839273,2023-02-21,2025-09-30,636
BJ839371,2023-01-18,2025-09-30,655
BJ839493,2023-11-01,2025-09-30,467
BJ839680,2021-11-15,2025-09-12,898
BJ839719,2023-05-26,2025-09-30,572
BJ839725,2022-07-18,2025-09-30,779
BJ839729,2021-11-15,2025-09-30,942
BJ839790,2022-09-02,2025-09-30,745
BJ839792,2023-03-30,2025-09-30,609
BJ839946,2021-11-15,2025-09-30,942
BJ870199,2022-12-01,2025-09-30,688
BJ870204,2022-01-18,2025-09-30,897
BJ870299,2022-06-10,2025-09-30,805
BJ870357,2022-11-18,2025-09-30,697
BJ870436,2021-11-15,2025-09-30,942
BJ870508,2022-12-16,2025-09-30,677
BJ870656,2024-02-02,2025-09-30,401
BJ870726,2023-08-08,2025-09-30,522
BJ870866,2022-12-09,2025-09-30,682
BJ870976,2023-09-01,2025-09-30,504
BJ871245,2022-01-06,2025-09-30,905
BJ871263,2023-12-28,2025-09-30,426
BJ871396,2021-11-15,2025-09-30,942
BJ871478,2023-05-12,2025-09-30,582
BJ871553,2021-11-15,2025-09-30,942
BJ871634,2022-11-24,2025-09-30,693
BJ871642,2021-11-15,2025-09-30,942
