code,fields
bj430017,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430047,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430090,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430139,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430198,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430300,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430418,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430425,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430476,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430478,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430489,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430510,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430556,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430564,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430685,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj430718,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj830779,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj830799,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj830809,adjclose;amount;change;close;factor;high;low;open;volume;vwap
bj830832,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301632,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301633,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301636,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301638,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301656,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301658,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301662,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301665,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301666,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301667,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301668,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301669,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301678,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301680,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301682,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301683,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301687,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz301696,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz302132,adjclose;amount;change;close;factor;high;low;open;volume;vwap
sz399300,adjclose;amount;change;close;factor;high;low;open;volume;vwap
