signal_date,actual_n,pred_n,intersection,jaccard,actual_only,pred_only
2016-07-29,15,15,6,0.25,SH600036;SH600183;SH600197;SH600755;SH600809;SH600837;SH600887;SH601688;SZ002603,SH600066;SH600377;SH601009;SZ002304;SZ002317;SZ002508;SZ002595;SZ300015;SZ300017
2016-12-13,15,15,4,0.15384615384615385,SH600023;SH600089;SH600269;SH600307;SH600585;SH600809;SH600887;SH601398;SH601939;SZ000157;SZ000830,SH600086;SH600276;SH600308;SH600519;SH600755;SH600820;SH600837;SH601688;SZ000513;SZ002083;SZ002142
2017-04-28,15,15,10,0.5,SH600023;SH600703;SH600809;SH600887;SH601006,SH600004;SH601288;SH601607;SH601766;SZ000900
2017-09-06,15,15,5,0.2,SH600023;SH600036;SH600089;SH600519;SH600809;SH600887;SH601006;SH601288;SH601988;SZ000157,SH600016;SH600061;SH600221;SH600548;SH600642;SH600900;SH601328;SH601818;SH601985;SZ000900
2018-01-18,15,15,3,0.1111111111111111,SH600023;SH600203;SH600887;SH603377;SH603699;SH603899;SZ000690;SZ000895;SZ002042;SZ300202;SZ300270;SZ300429,SH600089;SH600377;SH600660;SH600809;SH600900;SH601006;SH603011;SZ000157;SZ000584;SZ000818;SZ000955;SZ002540
2018-06-06,15,15,1,0.034482758620689655,SH600203;SH600977;SH601117;SH601566;SH603699;SH603866;SH603899;SZ002042;SZ002550;SZ300257;SZ300270;SZ300400;SZ300429;SZ300497,SH600036;SH600461;SH600648;SH603268;SH603787;SZ000429;SZ000895;SZ000975;SZ002003;SZ002411;SZ002459;SZ002540;SZ300068;SZ300470
2018-10-19,15,15,3,0.1111111111111111,SH600500;SH600508;SH600688;SH600871;SH600926;SH601128;SH601336;SH601898;SH601918;SH603012;SH603699;SZ300270,SH600028;SH600548;SH600593;SH601117;SH601288;SH601566;SH601818;SH601988;SH603866;SH603899;SZ000429;SZ300651
2019-03-05,15,15,1,0.034482758620689655,SH600089;SH600177;SH600377;SH600548;SH600662;SH600674;SH600820;SH600897;SH601019;SH601179;SZ000791;SZ002155;SZ002538;SZ002697,SH600508;SH600688;SH600871;SH600926;SH601128;SH601158;SH601229;SH603012;SH603303;SZ002064;SZ002266;SZ002731;SZ300068;SZ300429
2019-07-16,14,15,4,0.16,SH600031;SH600177;SH600897;SH601318;SH603365;SZ000090;SZ000157;SZ000568;SZ002734;SZ300041,SH600000;SH600036;SH600161;SH600377;SH600519;SH600548;SH600585;SH600642;SH600674;SH601007;SZ002780
2019-11-27,15,15,3,0.1111111111111111,SH600276;SH600741;SH600926;SH600966;SH601318;SH603816;SZ000001;SZ000090;SZ002521;SZ002697;SZ002706;SZ300041,SH600016;SH600098;SH600377;SH600585;SH600593;SH600897;SH601998;SZ000157;SZ000568;SZ002039;SZ002271;SZ002324
2020-04-13,15,15,6,0.25,SH600031;SH600496;SH600966;SH601222;SH603356;SH603713;SZ002213;SZ300669;SZ300737,SH600077;SH600399;SH600436;SH603326;SH603393;SH603568;SZ000513;SZ002697;SZ002816
2020-08-24,14,15,3,0.11538461538461539,SH600031;SH600436;SH603288;SH603810;SZ002251;SZ002493;SZ002706;SZ002840;SZ300138;SZ300257;SZ300669,SH600099;SH600220;SH600323;SH600519;SH600629;SH600674;SH600917;SH601369;SH603713;SZ000090;SZ002267;SZ300530
2021-01-06,15,15,2,0.07142857142857142,SH600025;SH600036;SH600436;SH601021;SH601318;SH601985;SH603288;SH603816;SH603833;SZ000568;SZ000837;SZ000902;SZ002372,SH600519;SH600795;SH600894;SH601100;SH601226;SH601939;SZ000422;SZ000667;SZ000900;SZ002077;SZ002493;SZ002539;SZ002789
2021-05-25,15,15,4,0.15384615384615385,SH600000;SH600160;SH600548;SH600612;SH600691;SH601021;SH603300;SH603567;SH603681;SZ000837;SZ002563,SH600261;SH600436;SH600901;SH600919;SH601006;SH601010;SH601288;SH601801;SH601988;SH603031;SH603816
2021-10-08,15,15,1,0.034482758620689655,SH600500;SH600728;SH600929;SH603189;SH603596;SH603681;SH688066;SH688177;SZ000567;SZ000837;SZ002448;SZ002732;SZ002929;SZ300538,SH600018;SH600368;SH600538;SH600551;SH600881;SH601188;SH601998;SH603323;SH603328;SH603567;SH605178;SZ002203;SZ002590;SZ002736
2022-02-21,15,15,3,0.1111111111111111,SH600004;SH600009;SH600048;SH600929;SH601111;SH601128;SH603359;SZ000895;SZ001979;SZ002120;SZ002562;SZ300498,SH600064;SH600115;SH600229;SH600376;SH600736;SH600838;SH601000;SH601098;SH601328;SH601900;SH603681;SZ000090
2022-07-05,15,15,8,0.36363636363636365,SH600009;SH600177;SH600415;SH600919;SH601838;SZ002594;SZ002807,SH600028;SH600035;SH600350;SH600901;SH601328;SZ000429;SZ000567
2022-11-16,15,15,5,0.2,SH600009;SH600276;SH603233;SH605077;SH605507;SZ002262;SZ002595;SZ002690;SZ300003;SZ301015,SH600004;SH600028;SH600029;SH600125;SH600177;SH600350;SH600612;SH600846;SH688309;SZ002052
2023-03-30,15,15,2,0.07142857142857142,SH600352;SH600362;SH600398;SH600612;SH603160;SH603258;SH603950;SH688009;SZ000338;SZ002429;SZ002690;SZ002832;SZ300770,SH600012;SH601577;SH601766;SH603060;SZ000729;SZ002032;SZ002367;SZ002381;SZ002563;SZ002595;SZ002966;SZ003041;SZ300003
2023-08-11,15,15,9,0.42857142857142855,SH600177;SH600352;SH601336;SH601985;SZ000166;SZ000338,SH601158;SH603950;SZ002267;SZ002381;SZ002690;SZ002832
2023-12-25,15,15,8,0.36363636363636365,SH600123;SH600252;SH600997;SH601702;SH601898;SH601918;SZ002001,SH600016;SH600352;SH600398;SH600901;SH600983;SZ000166;SZ002429
2024-05-15,15,15,8,0.36363636363636365,SH600025;SH600582;SH601169;SH601225;SH601229;SH601702;SZ001286,SH600098;SH600810;SH600886;SH601288;SH601985;SZ000027;SZ000333
2024-09-23,15,15,5,0.2,SH600025;SH600323;SH600999;SH601009;SH601328;SH601816;SH601988;SH688249;SH688399;SZ002594,SH600008;SH600050;SH600352;SH600598;SH600958;SH601326;SH601518;SH601818;SH601898;SH603281
2025-02-12,15,15,2,0.07142857142857142,SH600000;SH600208;SH600999;SH601229;SH601319;SH601988;SH688002;SH688696;SZ001226;SZ002490;SZ002891;SZ300993;SZ301080,SH600323;SH600377;SH600548;SH600919;SH601398;SH601607;SH601818;SH601963;SZ000729;SZ001238;SZ002203;SZ002595;SZ002948
2025-06-25,15,15,3,0.1111111111111111,SH600011;SH600039;SH601033;SH601988;SH605050;SH688186;SH688501;SZ002311;SZ002487;SZ002490;SZ002690;SZ002891,SH600036;SH600323;SH600350;SH600901;SH600926;SH601107;SH601288;SH601398;SH601665;SH601717;SH601998;SZ002014
2025-11-06,15,15,3,0.1111111111111111,SH600282;SH600338;SH601636;SH601899;SH603806;SH603816;SH603871;SH688002;SZ000408;SZ002056;SZ002487;SZ002859,SH600125;SH600130;SH601118;SH601288;SH601866;SH601880;SH603071;SH603661;SZ000498;SZ000783;SZ300097;SZ301035
2026-03-24,15,15,6,0.25,SH600338;SH600388;SH600970;SH603345;SH603556;SH603568;SZ002318;SZ002372;SZ002859,SH600750;SH600863;SH601018;SH601636;SH603806;SZ000935;SZ001218;SZ002487;SZ002690
