universe,eff,momentum,rank_scope,mean_jaccard,mean_recall,mean_precision,exact_sets,basegood_med,gate_med
noprice,res60,mom,universe,0.18285029997673674,0.2925925925925926,0.291358024691358,0,3784.0,2081.0
noprice,res60,resmom1,universe,0.18285029997673674,0.2925925925925926,0.291358024691358,0,3784.0,2081.0
base,res60,mom,universe,0.18132027992819816,0.28994708994708995,0.2888888888888889,0,3745.0,2060.0
base,res60,resmom1,universe,0.18132027992819816,0.28994708994708995,0.2888888888888889,0,3745.0,2060.0
h252,res60,mom,universe,0.18132027992819816,0.28994708994708995,0.2888888888888889,0,3496.0,1923.0
h252,res60,resmom1,universe,0.18132027992819816,0.28994708994708995,0.2888888888888889,0,3496.0,1923.0
base,er20,mom,universe,0.17920751871693066,0.2927689594356261,0.291358024691358,0,3746.0,2060.0
base,er20,resmom1,universe,0.17920751871693066,0.2927689594356261,0.291358024691358,0,3746.0,2060.0
base,res60,mom,gate,0.1786747772826955,0.28747795414462085,0.2864197530864198,0,3745.0,2060.0
base,res60,resmom1,gate,0.1786747772826955,0.28747795414462085,0.2864197530864198,0,3745.0,2060.0
noprice,res60,mom,gate,0.1786747772826955,0.28747795414462085,0.2864197530864198,0,3784.0,2081.0
noprice,res60,resmom1,gate,0.1786747772826955,0.28747795414462085,0.2864197530864198,0,3784.0,2081.0
h252,res60,mom,gate,0.17720505359074962,0.2850088183421517,0.28395061728395066,0,3496.0,1923.0
h252,res60,resmom1,gate,0.17720505359074962,0.2850088183421517,0.28395061728395066,0,3496.0,1923.0
base,er20,resmom252,universe,0.1770694459588901,0.2874779541446208,0.28641975308641976,0,3749.0,2062.0
h252,er20,resmom252,universe,0.1770694459588901,0.2874779541446208,0.28641975308641976,0,3501.0,1926.0
noprice,er20,resmom252,universe,0.1770694459588901,0.2874779541446208,0.28641975308641976,0,3788.0,2083.0
noprice,er20,mom,universe,0.1770116469558415,0.29029982363315693,0.28888888888888886,0,3785.0,2082.0
noprice,er20,resmom1,universe,0.1770116469558415,0.29029982363315693,0.28888888888888886,0,3785.0,2082.0
base,res60,resmom252,gate,0.17536004745455572,0.27989417989417986,0.27901234567901234,0,3748.0,2061.0
base,res60,resmom252,universe,0.17536004745455572,0.27989417989417986,0.27901234567901234,0,3748.0,2061.0
noprice,res60,resmom252,gate,0.17536004745455572,0.27989417989417986,0.27901234567901234,0,3787.0,2083.0
noprice,res60,resmom252,universe,0.17536004745455572,0.27989417989417986,0.27901234567901234,0,3787.0,2083.0
h252,er20,mom,universe,0.17521973695137114,0.2878306878306878,0.28641975308641976,0,3497.0,1923.0
h252,er20,resmom1,universe,0.17521973695137114,0.2878306878306878,0.28641975308641976,0,3497.0,1923.0
h252,res60,resmom252,gate,0.17497791929464981,0.2798941798941799,0.2790123456790124,0,3500.0,1925.0
base,er20,mom,gate,0.173839720659644,0.2851851851851852,0.28395061728395066,0,3746.0,2060.0
base,er20,resmom1,gate,0.173839720659644,0.2851851851851852,0.28395061728395066,0,3746.0,2060.0
h252,res60,resmom252,universe,0.17350819560270386,0.27742504409171076,0.27654320987654324,0,3500.0,1925.0
h252,er20,mom,gate,0.17225694129908686,0.28271604938271605,0.2814814814814815,0,3497.0,1923.0
h252,er20,resmom1,gate,0.17225694129908686,0.28271604938271605,0.2814814814814815,0,3497.0,1923.0
noprice,er20,mom,gate,0.17225694129908686,0.28271604938271605,0.2814814814814815,0,3785.0,2082.0
noprice,er20,resmom1,gate,0.17225694129908686,0.28271604938271605,0.2814814814814815,0,3785.0,2082.0
base,er20,resmom252,gate,0.16869568773783333,0.2777777777777778,0.27654320987654324,0,3749.0,2062.0
h252,er20,resmom252,gate,0.16869568773783333,0.2777777777777778,0.27654320987654324,0,3501.0,1926.0
noprice,er20,resmom252,gate,0.16869568773783333,0.2777777777777778,0.27654320987654324,0,3788.0,2083.0
base,res6_1,resmom252,universe,0.16069258468614347,0.2656084656084656,0.26419753086419756,0,3748.0,2061.0
noprice,res6_1,resmom252,universe,0.16069258468614347,0.2656084656084656,0.26419753086419756,0,3787.0,2083.0
h252,res6_1,resmom252,gate,0.15932422124881448,0.26313932980599647,0.2617283950617284,0,3500.0,1925.0
h252,res6_1,resmom252,universe,0.15932422124881448,0.26313932980599647,0.2617283950617284,0,3500.0,1925.0
base,res6_1,mom,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3745.0,2060.0
base,res6_1,resmom1,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3745.0,2060.0
h252,res6_1,mom,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3496.0,1923.0
h252,res6_1,mom,universe,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3496.0,1923.0
h252,res6_1,resmom1,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3496.0,1923.0
h252,res6_1,resmom1,universe,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3496.0,1923.0
noprice,res6_1,mom,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3784.0,2081.0
noprice,res6_1,resmom1,gate,0.15811521078054477,0.26331569664903,0.2617283950617284,0,3784.0,2081.0
base,res6_1,resmom252,gate,0.15712834948772533,0.26067019400352737,0.2592592592592593,0,3748.0,2061.0
noprice,res6_1,resmom252,gate,0.15712834948772533,0.26067019400352737,0.2592592592592593,0,3787.0,2083.0
base,res6_1,mom,universe,0.15664548708859888,0.2608465608465608,0.25925925925925924,0,3745.0,2060.0
