signal_date,signal_index,member_n,eligible_n,target_n,target_codes
2000-08-09,141,1000,0,0,
2000-12-20,231,1045,0,0,
2001-05-17,321,1101,0,0,
2001-09-20,411,1129,0,0,
2002-02-05,501,1142,0,0,
2002-07-02,591,1159,0,0,
2002-11-13,681,1194,0,0,
2003-03-31,771,1214,0,0,
2003-08-13,861,1236,0,0,
2003-12-24,951,1262,0,0,
2004-05-18,1041,1288,0,0,
2004-09-21,1131,1353,0,0,
2005-02-02,1221,1352,0,0,
2005-06-24,1311,1358,66,7,SH600323;SH600693;SH600332;SH600664;SZ000568;SZ000796;SH600641
2005-11-04,1401,1358,325,10,SZ000852;SH600879;SZ000155;SZ000715;SH600697;SH600406;SH600436;SH600859;SZ000690;SH600089
2006-03-23,1491,1353,211,10,SH600406;SZ000666;SH600028;SZ000001;SZ000705;SH600282;SZ000573;SH600143;SH600158;SZ000856
2006-08-03,1581,1355,6,0,
2006-12-14,1671,1395,222,10,SH600170;SZ000709;SH600519;SH600642;SH600037;SZ002033;SH600628;SZ002035;SH600479;SH600019
2007-05-08,1761,1445,154,10,SH600642;SH600209;SH600871;SH600008;SH600093;SH600199;SH600626;SH600108;SH600727;SZ000889
2007-09-11,1851,1480,109,10,SH601666;SZ000060;SH600016;SZ002022;SH601166;SZ000715;SH600037;SH600019;SH600675;SH600276
2008-01-24,1941,1532,217,10,SH600479;SZ002028;SZ002101;SH600269;SH600563;SH600161;SH600583;SZ000004;SH600810;SH600559
2008-06-11,2031,1575,58,6,SH600176;SH600859;SH600662;SH600170;SH600628;SZ002089
2008-10-23,2121,1603,235,10,SH600377;SZ002038;SH600519;SH600315;SH600529;SH600663;SH600329;SH600787;SH600824;SZ001872
2009-03-09,2211,1603,326,10,SZ000989;SZ000008;SZ000780;SZ002060;SH600573;SH600486;SZ002065;SH600351;SZ002062;SH600561
2009-07-17,2301,1603,8,0,
2009-11-30,2391,1670,306,10,SZ000869;SZ000650;SH600887;SH600216;SH600315;SH600628;SH600582;SH600276;SH600594;SZ000895
2010-04-14,2481,1795,263,10,SH600887;SH600628;SH600993;SH600351;SH600004;SZ000715;SZ000971;SZ002254;SH600650;SH600880
2010-08-24,2571,1916,75,8,SZ002014;SZ000860;SH600562;SZ000417;SZ002266;SZ002058;SH600710;SZ002296
2011-01-10,2661,2050,324,10,SH600960;SH600375;SH600131;SZ002152;SZ000993;SH600820;SZ300091;SH600815;SZ300043;SZ000821
2011-05-26,2751,2174,91,10,SH600036;SZ000157;SH600688;SZ000048;SH600839;SZ000568;SH601618;SZ000613;SH600585;SH600130
2011-10-10,2841,2272,349,10,SZ000858;SH600519;SZ000538;SH600588;SZ002353;SZ002530;SZ002556;SZ002293;SZ300037;SZ000963
2012-02-22,2931,2336,446,10,SH600519;SZ002353;SZ000963;SH601328;SH601006;SH601088;SH601009;SH600007;SH600009;SH601601
2012-07-05,3021,2423,46,5,SH600136;SZ300054;SZ300257;SZ300128;SZ300145
2012-11-15,3111,2470,1052,10,SZ300145;SZ000608;SH600691;SH601186;SZ002250;SH600276;SZ300072;SH600535;SZ002595;SH601880
2013-04-02,3201,2469,1095,10,SZ002250;SZ300072;SZ300145;SH600892;SH600028;SZ002224;SH600795;SH600674;SH600009;SH600256
2013-08-16,3291,2466,1035,10,SZ002224;SH600009;SH600561;SZ002640;SZ300122;SZ000055;SZ002332;SH600865;SH600764;SH600682
2013-12-31,3381,2468,1000,10,SH600009;SZ002425;SH600255;SH601006;SH600290;SZ300202;SZ000685;SH601318;SH600585;SZ000531
2014-05-19,3471,2520,936,10,SZ300202;SH600290;SH600777;SZ000576;SH600382;SZ300063;SZ002387;SH600582;SZ000978;SH600886
