strategy,pass_validation,picks,dev_cagr,dev_total_return,dev_mdd,dev_sharpe,dev_sortino,dev_calmar,dev_avg_gross,validation_cagr,validation_total_return,validation_mdd,validation_sharpe,validation_sortino,validation_calmar,validation_avg_gross,test_cagr,test_total_return,test_mdd,test_sharpe,test_sortino,test_calmar,test_avg_gross,validation_2xcost_cagr,validation_2xcost_total_return,validation_2xcost_mdd,validation_2xcost_sharpe,validation_2xcost_sortino,validation_2xcost_calmar,validation_2xcost_avg_gross,test_delay1extra_cagr,test_delay1extra_total_return,test_delay1extra_mdd,test_delay1extra_sharpe,test_delay1extra_sortino,test_delay1extra_calmar,test_delay1extra_avg_gross
S01,False,38369,-0.1722558053302854,-0.3912713004698273,-0.3887440090687194,-1.0712192468133552,-1.4460089921080066,-0.4431085786838074,0.7494734679763292,-0.08030059568074255,-0.10478981465612724,-0.37097910789195565,-0.20320791924895387,-0.2816532000573209,-0.2164558433951741,0.7497406228359088,0.03377146391128649,0.044996017884884054,-0.13688379513014737,0.28617280600296136,0.33922688821066,0.24671630326421776,0.7447019579727832,-0.2561850866854649,-0.3238796746415099,-0.4884328147675894,-1.0479544274422687,-1.4688908919954102,-0.5245042489771399,0.7497851826685055,0.010011951482711945,0.013288853855678795,-0.14539991736413838,0.14860535487184184,0.16584010678690517,0.0688580273236201,0.745965172690218
S02,False,38364,-0.19242261257781246,-0.4294446241976255,-0.4324984238168552,-1.2239768550379964,-1.7056453750953136,-0.4449093961537656,0.666692079521075,-0.2741435919829647,-0.3453823333867909,-0.43625555259851434,-1.2291016464203621,-1.7314189442346264,-0.6284013815985944,0.666964089820754,-0.07466550154696527,-0.0977209053052206,-0.1614488041611889,-0.34064777395209267,-0.4152210542705553,-0.46247169147453066,0.6642372965023957,-0.4531240125066034,-0.5498245159979355,-0.5790487547793957,-2.425737482901129,-3.449990049244348,-0.7825317104416074,0.6670126312796588,-0.22346638223246817,-0.28476921083992845,-0.32913137093233347,-1.4247605222420756,-1.7293064824065372,-0.6789580148481529,0.6640280874309947
S03,False,7680,-0.08119100747348207,-0.19935086281505698,-0.34905127746478426,-0.36409248707917397,-0.5419839783761308,-0.23260481400665672,0.7918784891799264,-0.0963650237102529,-0.12540943811114413,-0.28142462174945837,-0.47113163535831465,-0.6818246905060581,-0.34241859547045256,0.799775809764556,0.14603936786956817,0.19663537994621305,-0.17422093744195066,0.7906629940300696,0.9024781732835551,0.8382423491334248,0.7785956386538406,-0.1264102427089312,-0.16365676388263317,-0.3001071176200315,-0.6570067266178365,-0.9497308837690345,-0.4212170764606137,0.7998150653774772,0.14036802193765663,0.18927059887922404,-0.18425164475764033,0.7507849450954494,0.8249474144503376,0.7618277824455405,0.7763985496704425
S04,False,37861,-0.4442405628954116,-0.7861243079390765,-0.7860663104205197,-2.9757430202089097,-4.1407263306904,-0.5651438778208895,0.831342650177049,-0.6635066084675771,-0.763152132612297,-0.7632082957052513,-4.228046399363685,-6.468931404772492,-0.8693650373053877,0.8335666970444479,11.3578330747317,26.988787590028707,-0.5479559535069074,0.8765680411604732,285.04764839672663,20.72763878563923,0.8198624970989737,-0.7079177037428699,-0.8035829128477814,-0.8034001951839137,-4.795744495611692,-7.289850024227525,-0.8811520186160945,0.8336006705781547,2.6382537802020796,4.536886960888332,-0.5062243689098778,0.8283870034046341,45.813088768554074,5.211629352975228,0.8200962146113309
S05,False,38268,-0.2552060519358451,-0.5386703927304639,-0.5422429963988773,-1.1542382905278283,-1.654259250425573,-0.47064886707750847,0.8313414410134508,-0.0938399992572021,-0.12217619300959282,-0.41841497215434575,-0.29678976871324325,-0.4497935290369223,-0.2242749554922385,0.8335145731541722,0.0019028792207609335,0.0025223744155031813,-0.21024945769414882,0.15545514542886005,0.19880768613332106,0.009050578496754383,0.8252241945727687,-0.21341338029973012,-0.2719951097267206,-0.4983952532643732,-0.898098050623549,-1.3551673673018088,-0.4282010691352336,0.8335528614916644,-0.06451832229543475,-0.08458611359370638,-0.27251460074538425,-0.08736982214244167,-0.11100740787767101,-0.236751800156629,0.8254432756429374
S06,False,34942,-0.16475945677881765,-0.3766896751449782,-0.39280087774429606,-1.4146901031409136,-1.9960631005953986,-0.41944778159602814,0.8310987042473957,-0.2362695221005927,-0.29983732674127406,-0.3632222114208008,-1.6577931853137162,-2.529676039280784,-0.6504820318569928,0.8334005392791823,26.388538945951122,79.35077253771327,-0.09711128826423843,0.8873343683794097,557.9656326431467,271.73503119584086,0.8210978425108234,-0.3370049673970048,-0.419284302727149,-0.45262311931726773,-2.570579113413882,-3.922689896932991,-0.7445597739358515,0.8334346571710369,16.026462405761354,41.7977390341593,-0.1642339797668988,0.8858823963177868,270.26091677623646,97.58310934502163,0.8203338722356939
S07,True,7637,0.04659266703088072,0.12701407794505193,-0.15258441360873487,0.4659165154316142,0.6256429539989354,0.3053566608078079,0.79260752029248,0.08696604741101455,0.11658641359999611,-0.1161553653960804,0.6706686301858503,0.9221940087942102,0.7487045227266718,0.8003817942757298,11.574828689315007,27.052454482006553,-0.0770042439684604,0.8947210453191101,161.52833724645006,150.31416572385098,0.7898894820052443,0.05085950193523514,0.0678022906107083,-0.12414854630681016,0.42692934329388493,0.5876273742704541,0.4096665119988219,0.8004268166339777,7.755354626226076,16.51828137965339,-0.15457194269013674,0.8874456667444995,91.07030720696554,50.17310704163742,0.7900925131627805
S08,False,38217,-0.09652661596153822,-0.23396423185699444,-0.33578428108636993,-0.4844090756582981,-0.6687729854695302,-0.28746615430967654,0.831220804418929,-0.21779795718294725,-0.2773566594461525,-0.46790109484394793,-0.6886495179827262,-0.9908339846210574,-0.4654786226896651,0.8330271911985141,30.597188880788515,96.10791438142074,-0.19820521184585127,0.8865288309160524,475.7143948543112,154.37126297458136,0.8201325453710562,-0.32094165671547914,-0.400605976640128,-0.539956005046389,-1.172718452967632,-1.6852645663410621,-0.5943848271266217,0.8330619465439313,42.157892603233655,145.7895518111866,-0.1895434900502153,0.8876870873394015,623.6579339848975,222.4180455475673,0.8207835044491439
S09,False,38396,-0.14362500863545935,-0.3344219682060484,-0.3759942650954664,-0.7088942154143186,-0.9421302014862778,-0.3819872321695981,0.7494859511987043,-0.1431504346041147,-0.18478453823346896,-0.45088690500884054,-0.3161883055136933,-0.44557301148857087,-0.3174863430582619,0.7493540481227325,110.10386978863252,512.9156885467653,-0.21400122588249593,0.8873373100481639,2095.761966483428,514.5011171528919,0.7428220908813605,-0.3069933384054042,-0.3842708659592964,-0.5200102426848487,-0.9787336847736409,-1.384354219511756,-0.5903601760234115,0.7493984346324192,122.46642146195465,590.0302102125836,-0.18854588802295758,0.8876956731067305,1929.6252447814688,649.5311181066064,0.7439774330540729
S10,False,37652,-0.643944812314962,-0.9335583849234218,-0.9339619424728075,-4.489393289023536,-7.258751731198234,-0.68947650116237,0.5007824726134585,-0.793926499744805,-0.8761612223546027,-0.8857107791720721,-5.118374806573225,-8.851853097596116,-0.8963721774809341,0.5,-0.42028400188976744,-0.514459514758768,-0.5983956846419106,-2.011891678353303,-3.3469273891579685,-0.7023513248449844,0.496875,-0.8652224255603214,-0.92936849580556,-0.9344875116986082,-6.519181098713811,-11.07139627256575,-0.9258790671130699,0.5,-0.5890050602086955,-0.6921943648268412,-0.6990146860267301,-3.1819354344521487,-5.474722956144123,-0.8426218675842987,0.5
