strategy,pass_validation,score_rows,dev_cagr,dev_mdd,dev_sharpe,dev_ending_nav,dev_avg_gross,dev_max_single,validation_cagr,validation_mdd,validation_sharpe,validation_ending_nav,validation_avg_gross,validation_max_single,test_cagr,test_mdd,test_sharpe,test_ending_nav,test_avg_gross,test_max_single,validation_cost2x_cagr,validation_cost2x_mdd,validation_cost2x_sharpe,validation_cost2x_ending_nav,validation_cost2x_avg_gross,validation_cost2x_max_single,test_delay2_cagr,test_delay2_mdd,test_delay2_sharpe,test_delay2_ending_nav,test_delay2_avg_gross,test_delay2_max_single
S01,False,2993199,-0.4054890032687467,-0.7958131272159076,-1.8292324740169277,0.21734571531728764,0.99155082859254,0.036500271409749985,-0.32749259857363233,-0.6067655803118882,-0.8478021000806552,0.5580467333242635,0.9982324172271771,0.03646646812558174,3.7042525179970687,-0.2702289571238118,0.8327715236686867,9.661643007240361,0.9961367349664704,0.9160771369934082,-0.4929660310302243,-0.732868930535017,-1.590059476758176,0.3684079075646689,0.9985456089960055,0.03647022321820259,-0.08215199716572974,-0.2597080949417564,-0.13133225555711012,0.8819975021804041,0.998707624376655,0.04192167893052101
S02,False,790566,-0.3573130482638608,-0.7507526132623562,-1.491293264537166,0.27319422194535675,0.9699100416621297,0.03534245118498802,-0.5614275291661818,-0.7559015640750798,-1.9244277130136958,0.29765223673130514,0.9986608905738659,0.035908620804548264,-0.3857018860424677,-0.5619539074330107,-1.4844068367774421,0.4898036368336808,0.9986814529288048,0.03677138686180115,-0.7128918552305965,-0.86345995759785,-3.017821826960679,0.15965706067995045,0.9989374060644193,0.03594686836004257,-0.3104961287039424,-0.4720036624409557,-1.1351067033545839,0.5800851667149504,0.9986944818029216,0.03918656334280968
S03,False,2949369,-0.1656055459820278,-0.5739488582003274,-0.3661486120331896,0.5877900493952075,0.9522418630954129,0.06188914552330971,-0.4739852401842488,-0.7227070101963525,-1.6919920229489462,0.38886200920574815,0.991066767593448,0.059295810759067535,0.4724680918963242,-0.4204537849025055,0.8929340824196077,1.762585951040555,0.991277982707785,0.39953064918518066,-0.49597941540677204,-0.7381861766256137,-1.8144748257115817,0.3651932741836459,0.9919661933116699,0.059319477528333664,0.5305988676883244,-0.38944500024736484,1.0167903598073889,1.86544010530017,0.9925536772116226,0.3581692576408386
S04,False,1863234,-0.5022265725819806,-0.891735678560017,-2.1222545507214052,0.12905566252883202,0.9644273771673767,0.0481966957449913,-0.761810398206002,-0.9046371554703562,-3.5317873425144257,0.12131568834114605,0.9959243808904391,0.04812324792146683,-0.6014438773448667,-0.7556469444114763,-2.4149902945137427,0.2598991677118622,0.9958490764393526,0.05001487955451012,-0.7989546381229318,-0.9238539868451319,-3.9719764778752484,0.09455050773825907,0.9964425526977925,0.0481514148414135,-0.5336999246211839,-0.6923040206084167,-2.072020635586872,0.32709036216346354,0.9962481188506973,0.04416557401418686
S05,False,1031874,-0.2962304309548439,-0.6552572447438241,-0.9540437772854296,0.35661772949382514,0.9097549592742278,0.03855974227190018,-0.3304991661728053,-0.6336174390250082,-0.9495299024057005,0.5543825235474451,0.9979719355534972,0.036928046494722366,0.08502775178958522,-0.30841782428857556,0.4114324421828998,1.1269718070859238,0.9978619366466832,0.037991829216480255,-0.4348692012172666,-0.7038488262887025,-1.4267368761301933,0.4321112067274036,0.9983104464043392,0.03692534193396568,0.08274084818581451,-0.2973314489235127,0.4061254042280298,1.123494206607388,0.9976895932389909,0.03888997435569763
S06,False,1086475,-0.16237343055671138,-0.5080931670555131,-0.9114989861725713,0.594497812533685,0.9660115765434362,0.042179763317108154,-0.12415039007062367,-0.37675350957200393,-0.4506422036708562,0.8229182302959941,0.9984610884377126,0.043649978935718536,1.4512255964389005,-0.2674432870052268,0.8101894319509824,3.7184414037547886,0.9949295407249814,0.5484285950660706,-0.26066618829055843,-0.49706691917096535,-1.1776083594250741,0.6414488783544103,0.9987728468487772,0.043674077838659286,1.6815789252203661,-0.20204630614594743,0.8452741252020226,4.241290950769267,0.9951919839829624,0.5506019592285156
S07,False,2843322,-0.06565114986380105,-0.46291049701998666,-0.11823902012553847,0.8193000982154047,0.8984753056841549,0.06271661818027496,-0.17247465808296614,-0.39021349294724084,-0.7142563758201687,0.7570376193080095,0.9951394083124868,0.06031123548746109,0.16058459099520883,-0.36395924558424275,0.6130469472054536,1.2437620444638218,0.99363739199999,0.05827051401138306,-0.20654461066321994,-0.42428675854811493,-0.898435954104966,0.7116596906469104,0.9955141375238976,0.06033850088715553,0.23023918704463164,-0.33364065346548344,0.7825356122055619,1.3546120203431635,0.9930878433526731,0.057365722954273224
S08,False,2949518,-0.13474961270043018,-0.49648684738179094,-0.3733040994376263,0.653896341403469,0.9659000903606282,0.049780890345573425,-0.4507115825130581,-0.7616636294427971,-1.3371158161600996,0.41441934641602957,0.9976067047440604,0.049210429191589355,4.0876138779231255,-0.407581692814004,0.8245256472901599,10.836473232934727,0.9932009794798886,0.9375259280204773,-0.5366237088557471,-0.8093609551979517,-1.7730842685673136,0.32272837969545576,0.9980361677622527,0.04922210052609444,2.519924109951283,-0.42155031745010607,0.8100890597894116,6.317586301337475,0.9925404568346274,0.8190357685089111
S09,False,5990084,-0.005975519815028196,-0.3807997474508964,0.11190801191311546,0.9825628402369108,0.9916305697428061,0.04031180590391159,-0.3395946016870487,-0.6659435602628587,-0.7931270220001935,0.5433447357615797,0.9987093521637863,0.039555635303258896,7.70261523006779,-0.34046901399804474,0.8361710748423262,23.789233112834907,0.9960720167607486,0.9670329689979553,-0.5020988945531137,-0.7694911231759456,-1.4780179678883476,0.35869291021597105,0.9989754016814607,0.03957044705748558,7.513704181250599,-0.36644718698760814,0.8363369672192514,23.03664818637941,0.9959629325806594,0.9654242992401123
S10,False,113540,-0.8665418414398048,-0.9975537116913025,-4.7928333525691045,0.0027092943497875606,0.9970563020645987,0.05006757378578186,-0.9541370082990296,-0.9897953193897957,-6.300390529881406,0.010764824411237398,0.9999998948547277,0.045454543083906174,-0.8543699947214529,-0.9427118143455607,-4.410300097757842,0.05947663564900826,0.9999998951492524,0.03333335742354393,-0.9803607160469587,-0.997018862934661,-8.115694290841551,0.0030935535465849632,0.9999998983707321,0.04545455053448677,-0.8138461766981895,-0.9186064539462241,-3.9274048301171223,0.085216338225212,0.9999998869682226,0.03333336114883423
S11,False,1382034,-0.3671177938953518,-0.7833609729354774,-0.9944694334605053,0.2611412353879476,0.9067197295072983,0.07529915869235992,-0.6544686771338858,-0.8412945177029117,-2.374216045823109,0.2096323657229741,0.9950505702683096,0.06534449011087418,-0.2780040159207945,-0.5346203219350709,-0.5368232093871558,0.6205610920185474,0.9934465173913651,0.06674487888813019,-0.6826552621234827,-0.8590339238606575,-2.5796037964380085,0.18497940310739894,0.9957913438255868,0.06533432006835938,-0.1938536108842891,-0.47089813566671845,-0.297086436692178,0.7293180267325353,0.9936726165084946,0.06534334272146225
S12,False,5904987,0.008816143152564404,-0.1854303253438826,0.13957263570729478,1.026097020665922,0.9585764117573659,0.042310599237680435,0.02632811735102858,-0.15734272968216456,0.2399537776325772,1.0389475988717667,0.9985221532288562,0.03656541928648949,0.9522423069495094,-0.10988288674607571,0.9518307593830115,2.6642075507165264,0.9927298526803986,0.3871598541736603,-0.016071200620033643,-0.20313065701975963,-0.012294399557312648,0.9764607630040026,0.9986825461468,0.03655223548412323,1.6373413137361226,-0.11420866244726091,0.8977708714241719,4.139197350283243,0.990874195800108,0.2505950629711151
S13,False,5857732,-0.2933819346893307,-0.6533495346090175,-1.3046131494479536,0.36087078547043827,0.9284711453389654,0.0512513741850853,-0.24934053136078427,-0.5364495545588082,-0.573792193767052,0.6559477808857607,0.9999999072444573,0.04587656259536743,0.17879260388187213,-0.24296297699736846,0.7229423569718375,1.2724481536549597,0.999999903330282,0.0518326610326767,-0.36615615081650854,-0.6316966774105002,-1.0184909057428462,0.5115207398378894,0.9999999065747421,0.04587653651833534,0.15624627006436587,-0.24516198680515877,0.6505713829477784,1.236957846051782,0.9999998904743782,0.05060039088129997
